5.000000
32 32 32
128.000000 128.000000 128.000000
48.000000 48.000000 48.000000
13.751194 474.970756 118.319614
11941 5 21 11
0.986539 -0.077521 -0.143985 10.324105
10886 6 20 10
0.225882 0.647323 0.727977 9.165910
11910 6 20 11
0.438400 0.898747 -0.007710 12.575665
16006 6 20 15
0.941158 0.337217 0.022510 7.958338
10918 6 21 10
0.234140 -0.107290 0.966265 11.581701
11942 6 21 11
0.999261 -0.031075 -0.022605 15.957419
12966 6 21 12
0.672892 0.044869 -0.738379 12.136752
16038 6 21 15
0.998874 -0.027795 -0.038439 9.224250
11974 6 22 11
0.743358 -0.661676 0.097995 13.495079
18118 6 22 17
0.903040 -0.135107 -0.407756 7.246643
12006 6 23 11
0.724694 -0.689052 -0.004978 9.108299
12038 6 24 11
0.570018 -0.814229 -0.110047 4.812750
11687 7 13 11
0.997317 0.032702 0.065500 8.781809
11911 7 20 11
-0.021193 0.921147 0.388637 14.074751
12935 7 20 12
0.558918 0.775812 -0.292789 14.165350
16007 7 20 15
0.914506 0.404187 0.017657 15.448921
10919 7 21 10
-0.178856 -0.108885 0.977832 11.554707
15015 7 21 14
0.958644 -0.065182 0.277042 15.182744
16039 7 21 15
0.889589 -0.385711 -0.244659 15.574007
18087 7 21 17
0.859409 0.351378 -0.371415 13.577564
11975 7 22 11
-0.357937 -0.710439 0.605935 15.103741
12999 7 22 12
0.158918 -0.777010 -0.609097 14.011170
14023 7 22 13
0.581518 -0.813471 -0.010117 12.092878
15047 7 22 14
0.635316 -0.747637 0.193422 13.088106
16071 7 22 15
0.649017 -0.760047 0.033249 13.346775
17095 7 22 16
0.790437 -0.533493 0.300990 14.432956
18119 7 22 17
0.620665 -0.486192 -0.615135 13.357250
10983 7 23 10
-0.129153 -0.421575 0.897549 6.999903
12007 7 23 11
-0.227314 -0.967823 0.107919 11.082587
15079 7 23 14
0.320337 -0.932759 0.165364 7.485863
16103 7 23 15
0.312486 -0.947761 0.064052 8.082473
17127 7 23 16
0.256900 -0.964948 0.053655 8.818078
18151 7 23 17
